product_id,n_obs,mae,rmse,mape,avg_sales,mae_pct
CO-CAR201-10890,177,38328.42,53065.57,48.88,103332.99,37.09
CO-CAR201-10891,173,13283.92,19096.38,19.98,131551.19,10.1
CO-CAR201-6301,221,4800.2,6604.04,139.74,12738.11,37.68
CO-CAR202-8082,199,23144.79,31858.21,75.91,66339.72,34.89
CO-DGB309-2133,223,1110.1,1430.26,33.11,5037.85,22.04
CO-DGB309-2157,223,1518.97,2380.19,30.2,10304.86,14.74
CO-DGB309-2159,222,1900.1,2671.15,41.02,10709.27,17.74
CO-DGB309-2160,223,1941.02,2623.5,40.29,8737.56,22.21
CO-DGB309-2161,223,733.02,1142.43,26.86,6108.47,12.0
CO-FVL354-3030,223,2534.91,3450.36,41.65,12980.83,19.53
CO-FVL356-0522,223,2769.56,3488.99,129.22,32284.59,8.58
CO-FVL356-1512,223,17067.87,24151.35,113.32,133748.64,12.76
CO-FVL356-6031,223,35149.79,45679.58,81.21,210105.08,16.73
CO-FVL356-8665,223,36064.11,56252.16,97.93,137632.97,26.2
CO-FVL357-5141,223,6962.7,10682.28,40.85,34787.56,20.01
CO-FVL399-8315,222,6331.68,9165.93,71.92,21843.13,28.99
CO-HYE449-7719,222,13268.7,22236.19,102.71,28308.08,46.87
CO-PDM450-0176,69,8034.82,9365.46,689.07,58593.31,13.71
CO-PDM450-10620,181,20965.89,33222.11,66.13,79965.18,26.22
CO-PDM451-1841,194,2596.28,4102.92,165.58,28351.26,9.16
CO-PDM451-2342,223,50233.64,54908.29,42.72,288825.52,17.39
CO-PDM452-1278,223,88452.75,111583.03,77.81,475672.98,18.6
CO-PDM452-1516,113,8093.19,9465.0,70.81,76962.24,10.52
CO-PDM452-1518,167,66452.7,75842.91,47.89,168727.19,39.38
CO-PDM452-7974,166,11770.98,13051.11,6408.53,263973.89,4.46
CO-PDM452-9155,221,4241.04,5418.31,52.42,15576.75,27.23
CO-PDM453-11660,136,16567.51,22866.14,38.33,74034.14,22.38
CO-PDM453-1606,186,1605.33,1920.32,75.42,26197.68,6.13
CO-PDM453-3986,161,109325.5,185988.89,57.71,206465.2,52.95
CO-PDM453-8551,223,5065.21,6009.11,23.94,21625.65,23.42
CO-PDM453-9524,222,20821.65,28474.86,40.03,55625.01,37.43
CO-PDM453-9525,222,8880.38,16310.67,58.06,47130.42,18.84
CO-PDM454-0619,223,1024.94,1963.86,78.55,16246.75,6.31
CO-PDM454-10684,175,10253.3,13331.41,50.83,123384.74,8.31
CO-PDM454-9727,97,4449.21,4910.5,1622.97,104524.05,4.26
CO-PDM454-9728,86,20710.59,29856.24,155.58,65048.67,31.84
CO-PDM454-9902,183,9383.43,10122.98,175.77,46238.37,20.29
CO-PDM454-9940,222,4643.05,8896.15,20.62,89906.15,5.16
CO-PDM456-0043,222,9919.59,17544.63,138.08,38128.1,26.02
CO-PDM456-0044,80,19631.64,23051.45,23.47,105747.36,18.56
CO-PDM456-11588,70,25641.74,35974.15,20695.76,71272.09,35.98
CO-PDM456-11589,69,15983.28,19057.0,1858.21,112447.8,14.21
CO-PDM456-11872,76,13211.1,19697.83,152562.33,74386.27,17.76
CO-PDM456-13112,58,26147.91,36213.19,65.12,131004.35,19.96
CO-PDM456-1388,223,675.8,1238.75,31.15,12946.19,5.22
CO-PDM456-1392,222,2688.25,3226.82,15.67,22536.93,11.93
CO-PDM456-2438,65,22462.23,24401.1,1925.95,66563.95,33.75
CO-PDM456-3530,90,4439.57,7039.52,57.1,123317.12,3.6
CO-PDM456-9830,79,48870.01,49540.5,1697.6,149912.35,32.6
CO-PDM458-9766,223,190896.71,368677.97,95.27,1294210.81,14.75
CO-PDM458-9767,223,49380.55,92894.93,113.03,455726.43,10.84
